Fund Name,AMC,ISIN,Instrument Name,Market Value (Lacs),% to NAV,Yield,Rating,Quantity,As Of Date
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07RC5,,2047.57,0.0006184312568,0,,2000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08JC3,,2030.25,0.000613200066,0,,200.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07IF7,,2008.94,0.0006067637683,0,,200.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE020B08AC9,,1915.99,0.0005786899123,0,,189.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KQ2,,1531.39,0.0004625284812,0,,1500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE556F08KK5,,1528.43,0.0004616344671,0,,1500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07HT0,,1502.42,0.0004537786199,0,,150.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE018A08BE9,,1028.44,0.0003106215864,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE047A08208,,1023.65,0.0003091748541,0,,100.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE071G07728,,1017.68,0.0003073717242,0,,1000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A08823,,1015.6,0.0003067434981,0,,100.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE134E08IX1,,643.1,0.0001942366518,0,,63.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE053F08338,,609.14,0.0001839796518,0,,600.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE115A07QR5,,511.86,0.0001545979981,0,,500.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE514E08FG5,,202.54,6.11735211e-05,0,,20.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE261F08DH3,,79.88,,0,,8.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE094A08150,,51.41,,0,,50.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE16J715035,,51491.98,0.0155522155091,0,,535.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE16J715019,,27946.16,0.0084406290644,0,,499.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE16J715027,,23110.9,0.0069802267733,0,,256.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE692A16IC3,,19490.98,0.0058868958125,0,,4000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE238AD6AX9,,19452.06,0.0058751407348,0,,4000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE562A16OS2,,18981.98,0.0057331616253,0,,4000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE514E16CL5,,18925.62,0.0057161391129,0,,4000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE160A16QL5,,14600.96,0.00440995426,0,,3000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE476A16B64,,9577.37,0.0028926703197,0,,2000.0,2025-07-31
ICICI Prudential Corporate Bond Fund,ICICI,INE040A16GA3,,7291.92,0.0022023917378,0,,1500.0,2025-07-31
