Issuer,Total_Exposure_Crores,Total_Exposure_Lacs,Funds_Count,WA_Yield,Funds_List,Holdings_Count,Avg_Holding_Size_Crores
Andhra Pradesh SDL ISD 040425 MAT 040440^,48.818999999999996,4881.9,1,7.2683,HDFC,1,48.818999999999996
Canara Bank,48.6187,4861.87,1,6.1,ICICI,1,48.6187
Renew Solar Energy,48.2622,4826.22,1,7.985000000000001,NIPPON,1,48.2622
SBI ALTERNATIVE INVESTMENT FUND,47.297799999999995,4729.78,1,0.0,KOTAK,1,47.297799999999995
Bank of Baroda,45.494499999999995,4549.45,1,7.277400000000001,ABSLF,1,45.494499999999995
Jubilant Bevco Limited**,41.5571,4155.71,1,8.2177,NIPPON,1,41.5571
Truhome Finance Limited**,40.9118,4091.18,1,8.235000000000001,NIPPON,1,40.9118
Bihar SDL - ISD 140721 Mat 140728^,40.721399999999996,4072.14,1,6.2355,HDFC,1,40.721399999999996
Mancherial Repallewada Road Private Limited**,40.6529,4065.29,1,8.495,NIPPON,1,40.6529
Prestige Projects Private Limited**,40.0906,4009.06,1,9.2051,NIPPON,1,40.0906
Sandur Manganese And Iron Ores Ltd**,39.0061,3900.61,1,11.2459,NIPPON,1,39.0061
Bamboo Hotel And Global Centre,38.3206,3832.06,1,10.590400000000002,NIPPON,1,38.3206
Ashoka Buildcon Limited**,36.1558,3615.58,1,8.259136028521011,NIPPON,2,18.0779
Delhi International Airport Limited**,35.9873,3598.73,1,8.94,NIPPON,1,35.9873
Vedanta Limited**,35.3988,3539.88,1,8.8605,NIPPON,1,35.3988
Renserv Global Private Limited**,35.0663,3506.63,1,9.7596,NIPPON,1,35.0663
Hiranandani Financial Services Private Limited**,34.9909,3499.09,1,10.3422,NIPPON,1,34.9909
Maharashtra SDL ISD 250625 MAT 250638^,34.9477,3494.77,1,7.1708,HDFC,1,34.9477
Jubilant Beverages Limited**,30.991300000000003,3099.13,1,8.277700000000001,NIPPON,1,30.991300000000003
Aditya Birla Real Estate Limited**,30.7181,3071.81,1,7.835,NIPPON,1,30.7181
Nomura Capital (India) Pvt.,30.5711,3057.11,1,8.02,ICICI,1,30.5711
Indostar Home Finance Private Limited**,30.0781,3007.81,1,9.333269643029313,NIPPON,2,15.03905
REC Limited**,26.668499999999998,2666.85,1,6.7287,NIPPON,1,26.668499999999998
Profectus Capital Private Limited**,26.4696,2646.96,1,9.3366,NIPPON,1,26.4696
RAJASTHAN SDL ISD 240124 Mat 240131^,26.133699999999997,2613.37,1,6.7692,HDFC,1,26.133699999999997
Mindspace Business Parks REIT**,25.7988,2579.88,1,7.175,NIPPON,1,25.7988
BAJAJ HOUSING FINANCE LTD.**,25.5906,2559.06,1,6.97,KOTAK,1,25.5906
Small Industries Dev Bank of India**,25.4863,2548.63,1,6.5625,NIPPON,1,25.4863
Export-Import Bank of India,25.4166,2541.66,1,6.71,KOTAK,1,25.4166
Export - Import Bank,25.4166,2541.66,1,6.71,HDFC,1,25.4166
Aditya Birla Capital Ltd.,25.3717,2537.17,1,7.29,SBI,1,25.3717
Telangana State Industrial Infrastructure Corporat,25.2943,2529.43,1,9.196118229798808,NIPPON,7,3.6134714285714287
Vastu Finserve India Private Limited**,25.0539,2505.39,1,8.425,NIPPON,1,25.0539
Sundaram Finance Limited,25.036199999999997,2503.62,1,6.43,ABSLF,1,25.036199999999997
Jio Credit Ltd **,25.0044,2500.44,1,7.1899999999999995,ICICI,1,25.0044
Bank Of Baroda **,24.7129,2471.29,1,5.81,ICICI,1,24.7129
Bank Of Baroda,24.331999999999997,2433.2,1,6.11,ICICI,1,24.331999999999997
